correct_sent	corrupt_sent
"Футболист подчеркнул , что не обижается на болельщиков , которые "" ухали , когда он был с мячом "" . "	"футболист подчеркнул что не обижается на болельщика , которые "" ухают , когда он был с мячом "" . "
Но по механизмам подсчета и организации , избирательный процесс в США похож на дикие африканские или латиноамериканские страны . 	Но по механизмам подсчётов и организаций , избирательный процессы США похож дикие африканские
""" За пять лет минус семь килограммов "" , - уточнила супруга Павла Воли . "	""" За пять лет минус семью килограммов . "" , - уточню супруга Павла Воли . "
Среди погибших - три женщины , которым было 25 , 52 и 73 года . 	Среди погибших три женщины которым 25 , 52 .
Рублей , - мечтательностей протянула одна из журналисток . 	Рублей , - мечтательностей протянешь одна из - журналисток .
Министр экологии и градостроительства Турции Мурат Курум сообщил , что власти Турции начали выплачивать материальную помощь пострадавшим . 	Министр экологий и градостроительств Турции Мурат Курум сообщил что власти турция начали выплачивает материальную помощи пострадавшим .
К началу 2000-х годов бандиты уже активно влияли на политическую жизнь края и были в доле с правоохранительными органами . 	К началам 2000-х годов бандиты уже активно влияли на политическую жизни края и были в долям с правоохранительными органами (
"Одиннадцать хоккеистов покинули челябинский "" Трактор "" "	"Одиннадцать хоккеистов покинете челябинские Трактор "" "
"Шансов уже намного меньше ( ... ) Скептикам хочу сказать : зараза , действительно , опасная , меры предосторожности нужно обязательно соблюдать "" , - цитировал "" ДП "" Максима Левченко . "	"шансов уже намного меньше ( ... ) скептикам хотел сказать : зараза . , действительно , опасная , меры предосторожности нужно обязательно соблюдав "" , - цитировал "" ДП "" Максима Левченко . "
"В России действуют 1484 стационарные организации социального обслуживания , пояснили "" Известиям "" в Министерстве труда и социальной защиты РФ . "	"В России действовали 1484 стационарные организации социальных обслуживания пояснили "" Известиям "" в Министерстве трудов социальной защиты рф . "
Об этом сообщает Reuters , ссылаясь на свои источники в оргкомитете . 	Об этом сообщаю Reuters , ссылаюсь на , свой источники в оргкомитете .
Ранее , 19 мая , в Минпросвещения предложили начать летнюю оздоровительную кампанию для детей в регионах России с 1 июля из - за неблагополучной эпидемиологической ситуации в стране . 	Ранее , 19 мая в Минпросвещения предложили начав летнюю оздоровительную кампанию для детей в регионах России с 1 июля из - за неблагополучной эпидемиологической ситуации в стране .
В ходе полета А4031 не были должным образом установлены границы района съемки . 	В ходе полёта А4031 не были должным образом установим границы района съемки
Еще одно требование для палестинцев - признать государство Израиль и распространение его суверенитета на большую часть долины реки Иордан . 	Еще одно требование для палестинцев - признать государство Израиль и распространение его суверенитета на большую часть долины реки Иордан
Поэтому я решил , что буду сам рассказывать вам о событиях рабочего дня , без посредников , без манипуляций , а главное без лжи , - отметил украинский лидер . 	Поэтому я решил , что буду сам рассказываю вам о событиях рабочего дней . без посредников , без манипуляций , а главное без лжей , - отметил украинский лидеры
Чтобы достигнуть результата , процедуру следует повторять раз в 2 дня . 	Чтобы достигнуть результатов процедуры следую повторяю раз в 2 дня .
За эти 8 лет , что я работаю главой сельсовета , я не допустил в своих селах оптимизации учреждений здравоохранения . 	8 лет , что я работает главой сельсовета : я не допустил своего селах оптимизации учреждения здравоохранения .
После завершения процесса эксперты оценят эффективность и безопасность . 	После завершения процессов эксперты оценят эффективности и безопасности ?
Первоначально обучение на курсах , инициатором учреждения которых был профессор Петр Лесгафт , длилось два года , позднее оно увеличилось до трех лет . 	Первоначально обучение на курсах , инициатором учреждения которых был профессора Петр Лесгафт , , длилось два годов , позднее оно увеличилось трех годов .
Поди , попробуй , заслужи Дантеса . 	поди , попробуй , заслужи Дантеса . .
Об этом в четверг , 28 мая , сообщили в российском Мизндраве . 	Об этом в четверг , 28 мая сообщим в российском Мизндраве .
Пожарным удалось вытащить из здания 17 человек , 10 из которых погибли . 	пожарному удашься вытащишь из здания 17 человек 10 из которых погибнете .
Во время избирательной кампании Анкара не скрывала , что делает ставку именно на Эрсина Татара , который около десяти лет прожил в Турции , занимался бизнесом и был председателем Стамбульской ассоциации турок - киприотов . 	избирательной кампании Анкара не скрывала , что делал ставку именно на Эрсина Татара , который десять лет прожил в Турции , занимался бизнесом и был председателем Стамбульской ассоциации турок киприота .
"Сейчас он на правах аренды играет за "" Фрайбург "" . "	"Сейчас он на праве аренды играешь за "" Фрайбург "" "
Федор Савельевич Хитрук родился в Твери в 1917 году в семье Савелия Хитрука , который был участником революционных событий 1905 года , а в Твери получил назначение на должность комиссара по продовольствию . 	Федор Савельевич Хитрук родился в Твери 1917 году в семье Савелия Хитрука , который был участником революционных событий 1905 года , а в Твери получишь назначение на должность комиссара по продовольствию ;
В России выявили более 1 млн человек с COVID-19 . 	В России выявили более 1 млн человек с COVID-19 ,
Пожилые люди имеют рекордную долю в населении Японии - 28,7 % , а к 2040 году ожидается прирост этого числа до 35,3 % . 	пожилой люди имели рекордную долю в населении Японии 28,7 % , а 2040 году ожидался прирост этого числа до 35,3 % .
Оплата производится только после проведения мониторинга качества и объема оказанных населению медицинских услуг . 	оплата производился только после проведения мониторинга качества и объема оказанных населению медицинских услуги
Эксперты Центра макроэкономического анализа и краткосрочного прогнозирования предложили новый план спасения экономики России от последствий пандемии коронавируса . 	эксперт Центра макроэкономического анализа краткосрочного прогнозирования предложили новый план спасения экономики России от последствий пандемия коронавируса .
В чем эта ложь , можно ли с этим бороться ? 	В чем эта ложь , можно ли с этим боровшись ,
Надежда Толоконникова , участница панк - группы Pussy Riot , сообщила в Twitter , что ее и еще 12 человек задержали в Петербурге . 	Надежда Толоконникова , участница панк группы Pussy Riot , сообщила в Twitter , что ее 12 человек задержали в Петербурге .
""" Лион "" обыграл "" Манчестер Сити "" со счетом 3:1 и впервые за десять лет вышел в полуфинал Лиги чемпионов . "	""" лионы "" обыграл "" Манчестер Сити "" со счётами 3:1 и впервые за десять годов вышел в полуфиналы Лиги чемпионов ; "
Израиль - 2 ; 4 . 	Израиль - 2 ; 4 ,
Из - за решения правительства , согласно которому люди должны носить маски в определенных публичных местах , в суд поступило около 30 жалоб , - заявила пресс - секретарь Таллиннского окружного суда Аннели Вилу . 	Из - за решений правительства , согласно которому люди должны носив маски определенных публичных местах , в суды поступило 30 жалоб , - заявила прессы - секретарь , Таллиннского окружных суда Аннели Вилу .
Традиционно по приглашению организаторов в наш город приехало довольно много видных деятелей кинематографа , в том числе и из других стран . 	Традиционно по приглашениям организаторов наши город приеду довольно много видных деятелей кинематографочисле стран
Деньги выделяются и исчезают без следа . 	деньги выделялись и исчезали без , следов .
Да и не только для Харькова , но и для всей Украины . 	Да и не только для Харькова но и для всей Украины .
Москва также называла беспочвенными утверждения о попытках повлиять на ход выборов в США . 	Москва также называет беспочвенными , утверждения о попытках повлиять на ход выборов в США .
А тем временем Роулинг встает на защиту наиболее уязвимых - сначала за свой пол , потом за детей . 	А тем временем Роулинг вставал на защиты уязвимых - свой полы потом за детей .
Во время демонтажа на 37-летнего мужчину обрушилась часть старого дымохода . 	Во времена демонтажа на 37-летних мужчину обрушусь части старого дымохода :
Рябухин : сенаторы планируют обсудить продление поддержки моногородов 	Рябухин сенатор планируют обсудит продление поддержки моногорода
Плясали от себя , пытались устранить огрехи в обороне . 	пляшут от себя , пытаются , устранить огрехи в обороне .
Но Европейский центробанк принимает во внимание сценарий , при котором экономика Европы не сможет развернуться и в летние месяцы . 	Но Европейский центробанк принимаешь во внимание сценарий , при котором экономика Европы не сможет развернуться летний месяцы .
Однако эти ошибки еще никогда не были такими массовыми , как в этом году . 	Однако этот ошибки еще никогда не были , такими массовыми этом году .
Отмечается , что перевод недопустим для сотрудников старше 65 лет , поскольку этой категории граждан предписан строгий карантин по причине распространения коронавирусной инфекции . 	отмечаюсь , что перевод недопустим для сотрудников старший 65 лет ) поскольку этой категории гражданина предпишу строгий карантин по причине распространения коронавирусной инфекции .
Иными словами , несколько некапитальных построек временно возвели на территории станции Шиес , а никак не на территории будущего экотехнопарка . 	Иными словами , некапитального построек временно возведём на территориях станции Шиес , а никак не на территории будущих экотехнопарка
Накануне , 9 июня , Sobesednik.ru писал о том , что в Красноярске задержали троих 14-летних подростков - анархистов , которых обвиняют в прохождении обучения для совершения террористических актов . 	Накануне , 9 июней , Sobesednik.ru пишу о том , что в Красноярске задержали трое 14-летних подростков - анархистов , которых обвиняем в прохождении обучения для совершения террористических актов .
Кокорин удивлен теплым поздравлениям от Погба и Фабрегаса . 	Кокорин удивлен тёплыми поздравлениям Погба ,
Банк , по информации РБК , обратился в администрацию президента для обсуждения вариантов 	банки , по информации рбк обратился в администрацию президентов для обсуждения вариантов (
Вместе с ним покинули больницу два терапевта и медицинская сестра . 	Вместе с ним покинете больницы два терапевтов медицинские сестра
Вебер , 23 . 	вебер , 23 )
Ли подчеркнул , что обеспечение людей рабочими местами останется приоритетом для правительства , как и в прошлом году . 	Ли подчеркнул , что обеспечение людей рабочими местом остался приоритетом для правительства прошлом году
"Знамя нападок на Польшу было подхвачено милитаристким каналом "" Звезда "" в программе "" Код доступа "" . "	"Знамя нападки на Польшу было подхвачено милитаристким каналом "" звезда "" в программе "" код доступа "" - "
По сообщению Министерства транспорта ДНР специалисты предприятия за неделю выполнили работы по планировке около 40 км обочин , убрали 93 автобусных павильона , мусор в полосе отвода на площади около 77 000 м2 . 	По сообщению Министерства транспортов ДНР специалисты предприятий за недели выполните работ по планировке около 40 км обочин ? уберёте 93 автобусных павильонов , мусор в полосе отвода на площадях 000 м2 .
Жалобы от участников фармотрасли на сложности в подготовке к маркировке лекарств , которая должна стать обязательной с 1 июля 2020 года , продолжают поступать к парламентариям . 	Жалобы от участников фармотраслей на сложности в подготовке к ; маркировке лекарств , которая должна стать обязательной с 1 июлей 2020 года , продолжаем поступаю к парламентариям .
Естественно , конечная стоимость будет зависеть от объема . 	Естественно , конечные стоимость будет зависев от объёмов ?
"Лагерь закрыли лишь в 1995 году "" , - говорит директор Музея - заповедника "" Трехречье "" Екатерина Иптешева . "	"лагерь закрыли 1995 году "" , - говорит директор Музея - заповедника "" Трехречье "" Екатерина Иптешева .  :"
Когда девушка сообщила молодому человеку об этом , он без объяснений исчез . 	Когда девушки сообщила молодым человеку об этом он без объяснений исчез .
Почти треть инфицированных приходится на Соединенные Штаты , там выявлено 1,09 млн случаев заражения . 	Почти треть инфицирую прихожусь на Соединенные Штаты , там выявлю - 1,09 млн случаев заражения .
Однако главным основанием для уголовного преследования генерал - полковника Арсланова , считает защита , стали не выводы экспертов , а показания , данные в отношении него генерал - майором Оглоблиным и полковником Кутаховым . 	Однако главным основанием для уголовного преследования генерал - полковника Арсланова , считаю защита , стали не выводы эксперта , а , показания , данные в отношении него генерал - майором Оглоблиным и полковником Кутаховым .
"В итоге , после долгого хождения по врачам , ее направили в минувшую субботу сделать компьютерную томографию и поставили диагноз "" двусторонняя пневмония "" с поражением легких в 40 процентов . "	"В итогах , после долгих хождения по врачам ее направили минувшую субботы сделав компьютерную томографии и поставили диагноз "" двусторонние пневмония "" с поражением лёгких 40 процентов . "
Противостояние новым вызовам , одним из которых сегодня для всех стала пандемия коронавируса , должно еще больше мобилизовать совместные усилия на нашем континенте . 	Противостояние новым вызовам , одним из которых сегодня для всех стала пандемия коронавирусов , должно еще больше мобилизовав совместные усилия наших . континенте .
Сын первого секретаря ЦК КПСС Никиты Хрущева Сергей умер в США на 85-м году жизни , передает РЕН ТВ . 	Сын первого секретаря ЦК КПСС , Никиты Хрущева Сергей умер в США на 85-м году жизни , передаёт РЕН тв .
Около сотни протестующих провели там ночь . 	Около сотня , протестуете провели там ночь .
А с каким диагнозом вы сейчас лежите ? 	А каким диагнозом вы сейчас лежите ,
Предоставление такой информации может привести к потере средств на счете . 	Предоставление такой информации мог приведя к потере средств на счете
""" И один человек может что - то изменить , а попытаться должен каждый "" - Картина дня - Коммерсантъ "	""" И одни человек мог что - то изменив , а попытавшись должен каждый "" - картины дней Коммерсантъ "
Дожди будут сопровождаться грозами и шквалистым ветром . 	дождь будут сопровождавшись грозой шквалистым , ветром .
Я ведь не один переезжаю , а с ребенком , с мамой . 	Я ведь не один переезжаю , а с детьми , с мамами
Сплав опыта , профессионализма и новых подходов , свежих идей позволит нам успешно развивать регион , улучшать качество жизни , повышать ваш достаток и социальную защищенность . 	Сплав опыта , профессионализма новых подхода , свежего идей позволит нам успешно развивав регион улучшав качество жизни , повышав ваш достаток социальную защищённость .
Эпидемия усилила ослабление внешнеэкономических отношений , выгодных для всех участников , ( мультилатерализм ) и активность международных институтов . 	эпидемии усилила ослабления внешнеэкономических отношений , выгодных всех участников , ( мультилатерализмы ) и активность международных институтов
По одной из версий , злоумышленники звонят бизнесменам и сообщают им о проверке с участием Государственного пожарного надзора и других органов власти . 	По одной из версий , злоумышленники звонят бизнесменам и сообщают им о проверке с участием Государственного пожарных надзора и других органов властей
По предварительным данным краевого управления СКР , часть пациентов находились в клинике анонимно , и на данный момент установить личности погибших из - за термических повреждений невозможно без проведения геномных экспертиз . 	По предварительным данным краевых управления СКР часть пациентов находились в клиниках анонимно , и данные момент установлю личностей погибнем термических повреждений невозможно без проведений геномных экспертиз .
При этом было выяснено , что порядка 72 % испытуемых были сексуально активны минимум раз в месяц , 36 % участников - минимум раз в неделю . 	При этом было выясню , что порядка 72 % испытуемых были сексуально активны минимумы раз в месяцы 36 % участников -- минимум раз в неделю .
В частности , их усилия поспособствовали новым санкциям против проекта . 	В частностях их усилия поспособствовали новым санкциям против проекта .
Отставки и назначения Новости СПб Все теги 	Все тег ,
Как предполагается документом , ежегодно в день начала Великой Отечественной войны проводить минуту молчания одновременно во всех регионах страны . 	Как предполагаешься документами ежегодно в дни начала Великой отечественных войны проводишь минуты молчания одновременно во всех регионах стран .
2 октября компания Hyperloop Transportation Technologies ( HTT ) представила первую пассажирскую капсулу сверхскоростной транспортной системы . 	2 октябрей компании Hyperloop Transportation Technologies ( HTT ) представлю первую пассажирскую капсулу сверхскоростные транспортной системы
"Во всех цитатах OFAC используется слово "" по имеющимся данным "" или "" по сообщениям "" , но не указаны источники этих данных . "	"всего цитатах OFAC используюсь слово "" имеемся данным "" или "" по сообщению "" но не указаны источник этих данных . "
Но из - за самоизоляции ее жители стали меньше покупать это национальное блюдо . 	Но из за самоизоляций ней жители станете меньше покупать это национальное блюдо .
На эти деньги строятся и модернизируются сыроварни , приобретается специальное оборудование . 	эти деньгу строитесь и модернизируетесь сыроварни приобретаешься специальное оборудование .
Там круглосуточно дежурят полицейские и Нацгвардия . 	Там круглосуточно дежурим полицейский и Нацгвардия
Из - за пандемии коронавируса сезон-2019/20 был досрочно завершен без определения победителя . 	Из за пандемии коронавирусов сезон-2019/20 был досрочно завершу без определения победителей .
"Ответственность за теракт взяло "" Исламское государство "" ( террористическая организация , запрещена в РФ ) . "	"Ответственность за теракт возьму Исламское государство "" террористическая организация , запрещу в РФ ) .  ,"
"Он добавил , что испытания препарата с участием лиц старше 60 лет завершены , результаты оказались "" очень положительными "" . "	"Он добавил , что испытания препарата с участием лиц старшие 60 лет , завершены , результаты оказались "" очень положительными "" . "
"Игра прошла в Софии на стадионе "" Васил Левски "" . "	"игры пройду в Софии на стадионах "" василы Левски "" "
"На этот раз парад с участием президента и акцию "" Бессмертный полк "" разнесли по времени на целый месяц . "	"этот раза парад с участием президента и акцию бессмертный полк "" разнесём по времени целый месяц ( "
Ранее подобное обещание дали Narva Vesi и Narva Soojusvõrk . 	Ранее , подобное обещание дали Narva Vesi и Narva Soojusvõrk .
"Хотя казалось , что после поражения 0:4 от "" Зенита "" армейские футболисты не смогут оправиться и для них последние игры сезона будут очень сложными . "	Хотя казалось , что после поражений 0:4 армейские футболисты не смогут оправлюсь и для них последние игры сезонов будут очень сложными
Вообще - то этот матч все с особым нетерпением ждали отнюдь не по причине вероятных новых подвигов Хлебушка . 	Вообще - то этот матч все особым нетерпением ждали отнюдь не по причине вероятных новых подвигов хлебушка
В случае невыполнения требований террористы угрожали убить заложников . 	В случае невыполнения требования террорист угрожаем убить заложника
В 2018 году - 7 случаев , 1 человек погиб . 	2018 годы - 7 случаев , 1 человек погиб .
Он организовывал реализацию решений вышестоящей власти , выполнял функции земского исправника , возглавлял квартирную и строительную комиссии . 	Он организовываю реализацию решений вышестоящей власти , выполняю функцию земского исправника , возглавляю квартирную
Также , по словам Захаровой , важен и тот факт , что современная Эстония , образовавшаяся и признанная в результате распада СССР - новое государство , не являющееся правопреемником того , с которым в 1920 году был подписан упомянутый договор . 	Также , по словам захаровой важен тот факт , что современная Эстония ; образуюсь и признанная в результате распада СССР - новое государство , не являюсь правопреемником того , с которым в 1920 году был подпишу упомяну договор .
Ее обсуждали в UEFA еще при Леннарте Юханссоне ( возглавлял UEFA в 1990 - 2007 годах ) . 	Ее обсуждали в UEFA еще при Леннарте Юханссоне ( возглавлял UEFA 1990 - 2007 годе )
Йогурты 	йогурты
История 247 полка насчитывает около полувека . 	История 247 полка насчитывал около полувека
""" Мы в месте с моими замечательными друзьями представим песню "" Москва не верит слезам "" , - рассказал певец Сергей Жуков . "	""" Мы в месте с моим замечательными друзьями представимы песню "" Москва не верит слезе "" , - расскажет певец Сергей Жуков - "
Кураев : казарменный социализм приходит в Россию 	Кураев казарменный социализм приходил в Россию
Возраст игроков : от 8 лет 	возраст игроков 8 года
"Источники altapress.ru сообщили , что обыски в управлении лесами проводят "" по делу одного из высших должностых лиц "" . "	"Источники altapress.ru сообщили , что обыски в управлениях лесами проводили "" по делу одних из высших должностых лиц "" . "
Поскольку современные средства информационно - коммуникационных технологий и возможности перевода дают возможность любому человеку из любой точки планеты быстро создать свое приложение , идею и быстро на всех распространить , очень высокая конкуренция . 	высокая конкуренция
Все зависит от дальнейшего развития ситуации и как люди будут себя вести . 	Все зависел от дальнейших развития ситуации и как люди будут себя вёдши
В это сложно поверить , но один из лучших российских форвардов не выиграл на взрослом уровне пока ни одного трофея ! 	В это сложно поверю но один наихорошего российских форвардов не выиграю взрослых уровне одних трофея !
"Первыми на снижение зарплаты в "" Спартаке "" согласились Тедеско и тренеры . "	"Первыми на снижение зарплаты в "" Спартаке "" согласились Тедеско и тренер "
После этого последует понижение температуры на 6 - 8 градусов . 	После этого последует понижение температуры 6 - 8 градусов
Если информация о переселении сирийских беженцев в Северный Эпир соответствует действительности , то власти Албании тем самым ослабят греческую идентичность в регионе , разбавив православное большинство мусульманами . 	Если информация о переселении сирийских беженцев в Северный Эпир соответствовал действительности то власти Албании тем самым ослабят греческую идентичность в регионе , разбавив православное большинство мусульманином .
Впервые за всю жизнь она предложила мужчине заняться любовью . 	Впервые , всю жизнь она предложу мужчине займусь любовью .
На турнире выступит россиянин 	На турнире выступит россиянин
По словам ее друга , причиной стал инфаркт . 	По словам ее друга причинами стал инфаркты .
В ходе разговора осужденный понял , что улик слишком много , а отпираться больше не имеет смысла , и сознался в убийстве , которое совершил 23 года назад . 	В ходе разговора осуждённый понял , что улики слишком много , а отпираешься больше не имеешь смысла , и сознался в убийстве , которое совершил 23 года назад ,
Тогда в основном болели жители Чувашии , которые приехали из - за рубежа . 	Тогда в основном болели жители Чувашии , которые приеду из - за рубежа ,
Больше всего предложений сдать однокомнатную квартиру ( 35 % ) , но чаще всего снимают комнаты . 	Больше всего предложений сдам однокомнатную квартиру 35 % ) , но чаще всего снимаем комнаты .
"До своего избрания мэром города чиновник являлся руководителем одной из самых крупных региональный компаний "" Томское пиво "" . "	"До своего избрания мэром города чиновник являлся руководителем одной из самых крупных региональный компаний томское пиво "" "
В свою очередь режиссер фильма Егор Анашкин , вышедший в прямой эфир со студией , отметил , что драма , которую он снял , не про политику . 	свои очередь режиссер фильмов Егор Анашкин , вышедший в прямой эфир со студией , отметил , что драма ) которую он снял , не про политику .
Может быть , он ждет меня все эти годы . 	можешь будешь он ждёшь меня все эти годы .
Были выявлены шерсть животного , гильза , следы обуви и колес транспорта , а также дерево со следом от пули . 	Были выявлены шерсти животного , гильзы , следы обуви и колёс транспорта , а также дерево со следом от пули
Хашим Тачи - основатель Освободительной армии Косово ( ОАК ) , которая боролась за независимость от Сербии . 	Хашим Тачи - основатель освободительной армии Косово ( ОАК , ) , которая боролась за независимость сербии .
Они призваны вызвать желание ввязаться в спор ( неважно , за или против автора ) , отправиться на поиски аргументов . 	Они призваны вызвать желание ввязаться в спор ( неважно , за или против автора ) , отправиться на , поиск аргументов .
Глава внешнеполитического ведомства ЕС Жозеп Борелль заявил , что дискуссия будет вестись с позиции непризнания Лукашенко легитимным президентом страны . 	Глава внешнеполитического ведомства ЕС Жозеп Борелль заявит , что дискуссия будет вестись с позиции непризнания Лукашенко легитимным президентом страны
